OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000593	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	19	8	0	0	0	0	0	9	0	0	0	0	0
ASV000187	29	0	8	4	0	0	0	14	0	0	0	0	3	17	0	0	1	46	1	0	103	8	13	24	33	15	17	0	2	0
ASV000213	166	0	0	3	2	0	22	0	0	0	0	0	0	6	0	10	32	0	2	0	69	0	12	1	10	0	3	0	0	0
ASV000807	0	0	0	1	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV000156	2	0	0	0	0	0	4	0	0	0	3	0	0	1	0	57	22	16	38	19	31	35	26	0	60	5	0	0	16	0
ASV000211	111	2	10	0	0	0	0	0	0	0	0	0	2	2	2	48	51	94	0	0	0	0	0	0	0	0	0	0	3	5
ASV000202	0	0	0	113	0	0	0	0	0	28	14	10	0	0	0	0	0	0	3	4	3	0	1	6	2	58	86	0	0	0
ASV000174	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000203	0	0	11	0	0	0	0	0	0	0	0	0	5	229	71	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
ASV000226	0	0	0	0	0	0	0	0	0	0	0	0	5	146	148	0	0	0	0	0	0	0	4	0	13	0	0	0	2	3
